Geneid	HCT_NS_1	HCT_NS_2	HCT_NS_3	HCT_TNF_1	HCT_TNF_2	HCT_TNF_3	SCZ_NS_1	SCZ_NS_2	SCZ_NS_3	SCZ_TNF_1	SCZ_TNF_2	SCZ_TNF_3
ENSG00000171720.10	1481	1548	1276	1171	1256	3023	775	1064	1191	1109	1528	1410
ENSG00000164620.9	271	423	343	303	339	913	210	273	405	261	457	390
ENSG00000197948.11	685	954	453	491	729	1177	432	610	530	544	702	508
ENSG00000120318.16	1033	1228	1235	1081	1314	2604	690	975	906	926	1664	1258
ENSG00000289478.1	17	6	0	10	6	18	6	4	8	6	22	6
ENSG00000081791.9	1376	1376	988	1059	1205	2547	786	1138	1144	996	1151	1182
ENSG00000113555.6	4	26	24	22	26	55	11	54	12	16	34	14
ENSG00000013561.18	936	763	884	844	592	1978	436	653	835	600	1262	1053
ENSG00000113552.16	1231	1191	870	775	806	2101	660	788	1017	641	811	1026
ENSG00000131507.11	1517	1149	1264	1188	955	3090	633	888	1254	716	1461	1615
ENSG00000289306.1	18	18	6	26	14	30	10	8	10	17	16	17
ENSG00000280047.1	22	12	10	12	12	28	8	16	4	2	12	18
ENSG00000187678.10	4	4	17	10	12	47	2	20	6	4	30	8
ENSG00000145819.18	3034	3017	2123	2457	2769	5826	1745	2327	2285	1855	2442	2447
ENSG00000230789.1	15	15	16	9	9	40	23	14	15	8	27	9
ENSG00000113580.15	4719	4481	3349	4971	3650	8936	2111	3946	3338	3071	4615	4768
ENSG00000279679.1	8	14	12	27	6	39	4	10	9	15	13	27
ENSG00000145817.17	990	784	621	964	624	1635	422	760	590	595	666	839
ENSG00000186314.12	51	26	67	46	21	124	17	36	43	30	45	80
ENSG00000133706.19	1961	1804	1680	2036	1625	3880	800	1462	1534	1567	2451	2084
ENSG00000091009.8	193	125	159	216	126	419	85	135	148	128	231	221
ENSG00000113649.13	1215	1172	1033	1271	1068	2603	600	958	998	1002	1205	1257
ENSG00000156475.19	33	28	124	43	37	319	32	31	105	21	151	140
ENSG00000248568.1	3	0	8	0	6	22	2	0	2	2	10	4
ENSG00000113657.13	161	198	42	207	186	188	82	140	36	202	114	101
ENSG00000176049.16	5202	4121	2479	3612	2699	5041	2131	3052	2392	3242	2780	2807
ENSG00000164266.11	8	5	26	8	14	42	7	3	25	5	37	32
ENSG00000247199.6	44	39	42	64	44	72	10	28	60	20	47	54
ENSG00000178172.7	20	14	2	16	14	4	6	32	4	4	2	2
ENSG00000145868.17	1099	985	822	1113	846	2018	511	855	896	727	923	1082
ENSG00000274799.1	3	26	11	9	13	22	2	20	15	14	30	11
ENSG00000169252.6	77	55	54	60	76	147	44	43	86	34	56	60
ENSG00000173210.20	91	106	38	91	114	83	53	113	34	60	28	18
ENSG00000157510.14	96	68	28	84	76	84	40	56	22	81	45	34
ENSG00000164284.15	174	172	183	230	116	321	94	167	152	112	227	236
ENSG00000145882.11	202	217	156	220	250	394	106	166	148	165	186	202
ENSG00000113712.19	2689	2365	2005	2270	2010	4998	1353	1912	1877	1865	2893	2653
ENSG00000230551.4	504	341	288	350	231	803	197	340	307	258	360	412
ENSG00000241112.1	59	59	28	63	46	68	20	49	40	40	31	61
ENSG00000183111.12	15	2	10	4	2	23	4	2	5	0	16	6
ENSG00000155846.17	4302	4851	4001	4922	5090	10212	2541	3673	3306	4578	6542	5323
ENSG00000199047.3	9	32	15	40	26	41	11	15	15	34	43	24
ENSG00000155850.9	826	623	504	704	523	1384	314	586	547	448	727	644
ENSG00000164296.7	148	192	145	181	170	408	84	181	182	161	198	215
ENSG00000113716.13	2738	3205	1928	2374	2689	4540	1652	2457	1909	2214	2563	2388
ENSG00000182578.14	17943	22846	14191	16130	20588	35482	11845	15733	13117	13992	16497	16800
ENSG00000214485.6	8	6	8	4	0	64	2	0	2	4	2	0
ENSG00000113721.14	40	39	32	43	32	98	19	35	26	35	48	54
ENSG00000070814.22	932	1118	643	912	1055	1421	521	818	533	863	745	724
ENSG00000019582.17	168706	196456	127555	132113	163316	356677	100578	132881	148013	121059	89312	158676
ENSG00000164587.13	4900	4375	4397	4164	4234	9483	2378	3506	3923	3433	7394	4722
ENSG00000070614.15	9232	10611	6700	7361	9471	16056	5563	7182	6553	6638	6706	7854
ENSG00000086589.12	769	805	698	767	852	1612	442	712	703	550	698	841
ENSG00000132912.13	1812	1524	1272	1530	1155	3284	801	1331	1410	1157	1567	1816
ENSG00000256235.3	612	709	369	557	672	865	375	644	395	642	537	465
ENSG00000145908.13	110	51	82	44	32	180	24	32	66	30	86	77
ENSG00000211445.13	2556	2556	3215	2042	1925	8186	1301	1825	2896	1622	3671	3664
ENSG00000145901.16	5709	8927	3916	8010	8259	13224	3657	6972	3785	7167	6840	6807
ENSG00000197043.14	5685	6516	2625	3586	4742	6890	3076	4062	3556	3393	2363	2951
ENSG00000198624.13	1783	2014	1457	1471	1694	3681	1098	1410	1365	1385	1537	1765
ENSG00000196743.9	28010	25065	28876	23943	20048	57504	11790	19345	23730	20612	38335	33240
ENSG00000123643.13	7105	6709	4401	4476	4814	10162	3796	5106	5139	3933	3723	4928
ENSG00000086570.13	3	10	20	10	6	29	6	10	12	6	18	28
ENSG00000271795.1	205	211	80	106	166	250	145	146	109	121	64	120
ENSG00000113140.11	3483	3665	10601	4347	4311	20028	1566	2775	7765	2919	15310	10926
ENSG00000272112.1	13	14	23	7	4	45	4	11	13	13	14	28
ENSG00000177556.12	1637	1931	1249	1720	1775	4097	856	1591	1487	1585	2163	2199
ENSG00000275765.6	29	25	28	10	22	31	8	14	30	26	32	31
ENSG00000145907.16	5299	5557	4172	5760	4325	12209	2531	4450	4707	3916	6150	6526
ENSG00000055147.19	400	316	258	350	338	669	182	307	296	230	339	360
ENSG00000037749.13	796	657	558	701	582	1507	316	706	655	534	623	811
ENSG00000164574.16	924	829	654	677	761	1443	537	695	619	559	656	762
ENSG00000245275.8	91	60	42	74	57	166	53	45	55	51	53	65
ENSG00000164576.12	758	627	525	565	528	1136	363	467	499	386	654	609
ENSG00000155506.19	7931	8622	5692	6967	7773	13913	4410	6554	5605	6235	5775	6562
ENSG00000241187.1	14	17	8	20	22	39	13	17	41	17	13	16
ENSG00000170271.11	88	50	54	50	69	97	52	77	50	58	24	24
ENSG00000277039.1	16	28	5	5	37	35	14	8	16	7	26	5
ENSG00000155508.14	789	683	476	692	499	1266	353	527	529	403	748	676
ENSG00000082516.9	356	377	286	291	330	680	178	292	274	288	412	398
ENSG00000082515.18	205	106	199	205	128	531	72	148	181	98	206	208
ENSG00000113249.13	29	22	18	10	4	58	15	26	36	30	24	26
ENSG00000135077.10	4736	4501	3511	3514	3524	7723	2370	3323	3627	2904	3946	4238
ENSG00000155868.8	147	141	118	168	105	346	61	137	160	94	186	182
ENSG00000113263.13	138	122	67	183	133	246	105	289	100	153	71	55
ENSG00000055163.20	889	1060	882	939	1021	2227	512	975	775	748	852	880
ENSG00000135074.16	51	40	100	69	76	388	23	71	76	47	143	126
ENSG00000172548.15	38	42	10	59	24	40	24	60	6	40	20	24
ENSG00000113272.14	186	176	164	206	190	374	74	178	127	142	213	218
ENSG00000155858.6	124	90	82	112	102	244	70	94	94	70	96	103
ENSG00000113282.14	2087	1753	1532	2368	1762	4062	972	1718	1284	1717	2055	2202
ENSG00000145860.12	2617	2432	1284	2750	2082	3196	1226	2375	1105	1821	1459	1544
ENSG00000164332.8	428	361	433	474	269	1033	177	329	378	237	558	571
ENSG00000113312.12	910	789	647	814	745	1647	472	687	709	536	1003	805
ENSG00000170234.13	540	490	384	557	433	1035	300	400	442	372	595	549
ENSG00000221886.4	57	49	45	50	33	97	26	37	36	55	69	53
ENSG00000164609.10	817	868	691	858	697	1697	388	732	628	612	860	855
ENSG00000164611.13	77	67	20	78	94	108	28	68	48	44	100	24
ENSG00000253522.6	486	477	334	425	269	959	235	353	440	333	460	474
ENSG00000113328.19	657	461	705	561	350	1690	226	390	724	401	887	932
ENSG00000170584.11	168	102	74	153	89	242	68	102	72	72	136	176
ENSG00000072571.20	81	50	8	92	80	74	41	78	34	51	18	34
ENSG00000038274.18	1074	850	939	1058	673	2222	448	805	815	728	975	1205
ENSG00000113645.15	14	18	25	32	72	119	8	46	54	12	52	42
ENSG00000113643.9	969	686	709	922	704	1784	440	705	732	598	1205	980
ENSG00000120137.7	2921	1955	2956	2411	1347	6448	1014	1738	2707	1473	3386	3739
